step,field,value,outcome,latency_ms,seen
48,fan_mode,low,match,607.3,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'low', 'swing_mode': 'off'}"
49,fan_mode,medium,match,677.4,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'medium', 'swing_mode': 'off'}"
50,fan_mode,high,match,614.3,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'high', 'swing_mode': 'off'}"
51,fan_mode,auto,match,632.6,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
52,swing_mode,vertical,match,607.3,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'vertical'}"
53,swing_mode,horizontal,match,638.6,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'horizontal'}"
54,swing_mode,both,match,625.9,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'both'}"
55,swing_mode,off,match,636.2,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
56,temperature,25,match,641.5,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
57,temperature,26,match,687.1,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
58,temperature,27,match,599.3,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
59,temperature,28,match,635.4,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
60,temperature,29,match,631.6,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
61,temperature,30,match,619.5,"{'hvac_mode': 'cool', 'temperature': 30, 'fan_mode': 'auto', 'swing_mode': 'off'}"
62,temperature,29,match,624.0,"{'hvac_mode': 'cool', 'temperature': 29, 'fan_mode': 'auto', 'swing_mode': 'off'}"
63,temperature,28,match,633.3,"{'hvac_mode': 'cool', 'temperature': 28, 'fan_mode': 'auto', 'swing_mode': 'off'}"
64,temperature,27,match,629.7,"{'hvac_mode': 'cool', 'temperature': 27, 'fan_mode': 'auto', 'swing_mode': 'off'}"
65,temperature,26,match,632.5,"{'hvac_mode': 'cool', 'temperature': 26, 'fan_mode': 'auto', 'swing_mode': 'off'}"
